value,step,phi
12,0,0.055033
12,20,0.094358
12,40,0.082984
12,60,0.073188
12,80,0.064006
12,100,0.055217
12,120,0.041247
12,140,0.059745
12,160,0.108166
12,180,0.166901
12,200,0.136031
12,220,0.182470
12,240,0.158730
12,260,0.193733
12,280,0.218052
12,300,0.238355
12,320,0.227110
12,340,0.208388
12,360,0.155435
12,380,0.153400
12,400,0.166386
12,420,0.188061
12,440,0.363772
12,460,0.388287
12,480,0.241405
12,500,0.208670
12,520,0.120145
12,540,0.081407
12,560,0.088984
12,580,0.074787
12,600,0.130336
12,620,0.144006
12,640,0.075217
12,660,0.073666
12,680,0.092931
12,700,0.084789
12,720,0.173095
12,740,0.270408
12,760,0.296291
12,780,0.316946
12,800,0.300182
12,820,0.285632
12,840,0.224909
12,860,0.201829
12,880,0.157948
12,900,0.168759
12,920,0.184423
12,940,0.262166
12,960,0.276365
12,980,0.306126
12,1000,0.294713
12,1020,0.309617
12,1040,0.319078
12,1060,0.186441
12,1080,0.188116
12,1100,0.158900
12,1120,0.223861
12,1140,0.132876
12,1160,0.113568
12,1180,0.126718
12,1200,0.097059
12,1220,0.096500
12,1240,0.113538
12,1260,0.156510
12,1280,0.146617
12,1300,0.213347
12,1320,0.250975
12,1340,0.215549
12,1360,0.295384
12,1380,0.235398
12,1400,0.158550
12,1420,0.129278
12,1440,0.193023
12,1460,0.240928
12,1480,0.400824
12,1500,0.523057
12,1520,0.529525
12,1540,0.515063
12,1560,0.456680
12,1580,0.505858
12,1600,0.499018
12,1620,0.482139
12,1640,0.554173
12,1660,0.566651
12,1680,0.491466
12,1700,0.313402
12,1720,0.331122
12,1740,0.287088
12,1760,0.161451
12,1780,0.248300
12,1800,0.363368
12,1820,0.352420
12,1840,0.289770
12,1860,0.311489
12,1880,0.274623
12,1900,0.302438
12,1920,0.327239
12,1940,0.360637
12,1960,0.365803
12,1980,0.314950
12,2000,0.260430
12,2020,0.271223
12,2040,0.278315
12,2060,0.255092
12,2080,0.305329
12,2100,0.356433
12,2120,0.361195
12,2140,0.307879
12,2160,0.401316
12,2180,0.388964
12,2200,0.345431
12,2220,0.269547
12,2240,0.209194
12,2260,0.146625
12,2280,0.263398
12,2300,0.298167
12,2320,0.341977
12,2340,0.409004
12,2360,0.432620
12,2380,0.494375
12,2400,0.613800
12,2420,0.598732
12,2440,0.579132
12,2460,0.572704
12,2480,0.551175
12,2500,0.581240
12,2520,0.596288
12,2540,0.543114
12,2560,0.544675
12,2580,0.545044
12,2600,0.555556
12,2620,0.568586
12,2640,0.521694
12,2660,0.546885
12,2680,0.444877
12,2700,0.422375
12,2720,0.565693
12,2740,0.589646
12,2760,0.604449
12,2780,0.609602
12,2800,0.651419
12,2820,0.615078
12,2840,0.556821
