value,step,phi
0.5,0,0.054928
0.5,20,0.099742
0.5,40,0.077788
0.5,60,0.082803
0.5,80,0.082288
0.5,100,0.076716
0.5,120,0.093467
0.5,140,0.109379
0.5,160,0.109379
0.5,180,0.139655
0.5,200,0.096847
0.5,220,0.084575
0.5,240,0.087325
0.5,260,0.094533
0.5,280,0.094533
0.5,300,0.100798
0.5,320,0.100334
0.5,340,0.074665
0.5,360,0.105392
0.5,380,0.099241
0.5,400,0.060797
0.5,420,0.059713
0.5,440,0.080354
0.5,460,0.106724
0.5,480,0.102077
0.5,500,0.186835
0.5,520,0.092107
0.5,540,0.080980
0.5,560,0.073463
0.5,580,0.071612
0.5,600,0.059326
0.5,620,0.087328
0.5,640,0.068664
0.5,660,0.059054
0.5,680,0.059054
0.5,700,0.059054
0.5,720,0.058509
0.5,740,0.059600
0.5,760,0.044415
0.5,780,0.064792
0.5,800,0.079438
0.5,820,0.086436
0.5,840,0.073358
0.5,860,0.089927
0.5,880,0.124145
0.5,900,0.130457
0.5,920,0.104090
0.5,940,0.165849
0.5,960,0.069318
0.5,980,0.078351
0.5,1000,0.102862
0.5,1020,0.082916
0.5,1040,0.078725
0.5,1060,0.070150
0.5,1080,0.106350
0.5,1100,0.131318
0.5,1120,0.129460
0.5,1140,0.128963
0.5,1160,0.133283
0.5,1180,0.196182
0.5,1200,0.191587
0.5,1220,0.174333
0.5,1240,0.174892
0.5,1260,0.180910
0.5,1280,0.105247
0.5,1300,0.087768
0.5,1320,0.093167
0.5,1340,0.075070
0.5,1360,0.074395
0.5,1380,0.099282
0.5,1400,0.132432
0.5,1420,0.146239
0.5,1440,0.154171
0.5,1460,0.170142
0.5,1480,0.153752
0.5,1500,0.151469
0.5,1520,0.150114
0.5,1540,0.124027
0.5,1560,0.125028
0.5,1580,0.111798
0.5,1600,0.092475
0.5,1620,0.134613
0.5,1640,0.093972
0.5,1660,0.058288
0.5,1680,0.071588
0.5,1700,0.039013
0.5,1720,0.062625
0.5,1740,0.055666
0.5,1760,0.102511
0.5,1780,0.086652
0.5,1800,0.103807
0.5,1820,0.172904
0.5,1840,0.165731
0.5,1860,0.177973
0.5,1880,0.185118
0.5,1900,0.147820
0.5,1920,0.159143
0.5,1940,0.177227
0.5,1960,0.150421
0.5,1980,0.102445
0.5,2000,0.083252
0.5,2020,0.067685
0.5,2040,0.080284
0.5,2060,0.082534
0.5,2080,0.057299
0.5,2100,0.046793
0.5,2120,0.055715
0.5,2140,0.071770
0.5,2160,0.050417
0.5,2180,0.098134
0.5,2200,0.075759
0.5,2220,0.043012
0.5,2240,0.034027
0.5,2260,0.078121
0.5,2280,0.094282
0.5,2300,0.100455
0.5,2320,0.086355
0.5,2340,0.098909
0.5,2360,0.119539
0.5,2380,0.082107
0.5,2400,0.082289
0.5,2420,0.133607
0.5,2440,0.158700
0.5,2460,0.157147
0.5,2480,0.157704
0.5,2500,0.147131
0.5,2520,0.158318
