alignment_radius,seed,mean_phi,sem_phi_within_run,mean_neighbours,rms_spread
6,1000,0.287656,0.001838,0.0839,596.90
6,1001,0.282784,0.001926,0.0828,691.23
6,1002,0.273629,0.001857,0.0556,705.17
6,1003,0.271637,0.001651,0.1203,822.85
6,1004,0.322281,0.001888,0.1097,753.52
6,1005,0.330318,0.001921,0.1369,740.04
6,1006,0.218125,0.001371,0.1011,686.04
6,1007,0.266423,0.001919,0.0669,908.20
6,1008,0.275199,0.002010,0.0625,637.42
6,1009,0.372844,0.001571,0.1086,563.93
6,1010,0.380909,0.002031,0.1067,697.70
6,1011,0.371027,0.002032,0.1375,743.12
12,1000,0.375611,0.002695,1.2317,706.31
12,1001,0.521028,0.002830,1.2658,584.21
12,1002,0.579357,0.002116,1.7800,616.02
12,1003,0.741849,0.001883,2.4664,144.71
12,1004,0.608033,0.003137,2.0658,446.80
12,1005,0.689863,0.002061,1.9653,274.74
12,1006,0.647111,0.002003,1.9464,444.39
12,1007,0.523389,0.002121,1.1969,673.49
12,1008,0.520866,0.001827,1.1406,667.87
12,1009,0.714439,0.001670,2.0922,331.11
12,1010,0.466432,0.001930,1.3028,739.74
12,1011,0.729862,0.002107,2.4139,147.99
24,1000,0.733503,0.002978,15.1467,583.79
24,1001,0.651199,0.004098,14.4547,627.18
24,1002,0.759902,0.002427,16.3778,580.20
24,1003,0.596831,0.002577,11.7586,759.23
24,1004,0.817447,0.001598,19.6436,500.61
24,1005,0.495868,0.003658,9.9250,859.08
24,1006,0.735826,0.003230,17.0564,603.48
24,1007,0.715424,0.004279,18.3711,482.02
24,1008,0.549504,0.003055,14.5939,749.67
24,1009,0.947212,0.001725,27.1250,88.58
24,1010,0.791674,0.003031,18.3864,443.11
24,1011,0.627664,0.002749,13.3717,726.54
36,1000,0.820467,0.002032,30.0964,515.70
36,1001,0.947604,0.001830,42.1814,90.86
36,1002,0.752100,0.004017,27.7850,502.77
36,1003,0.701259,0.002580,24.1283,665.15
36,1004,0.953541,0.001704,41.9617,93.03
36,1005,0.822189,0.001906,32.5514,468.57
36,1006,0.818955,0.001842,33.4650,486.95
36,1007,0.463119,0.002987,17.0314,874.85
