visual_range,phi_mean,phi_sem_across_seeds,mean_neighbours,rms_spread
0.25,0.121313,0.004290,0.0548,888.58
0.5,0.131645,0.003231,0.2418,898.13
1.0,0.158539,0.007804,0.7226,881.76
1.5,0.251801,0.011054,3.3943,926.97
2.0,0.432392,0.021964,10.1043,863.44
3.0,0.614327,0.033882,24.0081,706.77
4.0,0.796792,0.038850,39.5945,422.30
5.0,0.901864,0.018057,50.4871,226.79
6.0,0.898046,0.026606,52.6185,207.03
8.0,0.941691,0.000706,58.5194,107.36
12.0,0.940833,0.001080,58.9761,112.50
16.0,0.939527,0.001271,58.9997,111.76
