visual_range,seed,mean_phi,sem_phi_within_run,mean_neighbours,rms_spread
0.25,1000,0.122312,0.000910,0.1333,858.18
0.25,1001,0.114265,0.000873,0.1000,894.14
0.25,1002,0.133984,0.000771,0.0333,894.00
0.25,1003,0.123997,0.000858,0.0000,879.70
0.25,1004,0.113946,0.000886,0.0333,876.05
0.25,1005,0.140215,0.000948,0.0361,872.35
0.25,1006,0.111598,0.000784,0.0667,874.07
0.25,1007,0.096974,0.000722,0.0667,923.04
0.25,1008,0.103196,0.000772,0.0842,904.28
0.25,1009,0.128908,0.000802,0.0667,918.91
0.25,1010,0.148102,0.000870,0.0378,870.39
0.25,1011,0.118258,0.000860,0.0000,897.88
0.5,1000,0.131438,0.000905,0.3108,875.89
0.5,1001,0.117589,0.000829,0.2058,887.63
0.5,1002,0.149336,0.000905,0.2272,879.69
0.5,1003,0.139258,0.000856,0.3622,893.59
0.5,1004,0.116354,0.000941,0.2672,897.48
0.5,1005,0.134384,0.001119,0.2544,903.66
0.5,1006,0.133584,0.000703,0.1672,878.60
0.5,1007,0.133487,0.000882,0.2867,919.75
0.5,1008,0.112226,0.000688,0.1678,899.39
0.5,1009,0.138522,0.001038,0.1931,911.40
0.5,1010,0.130299,0.000967,0.1969,890.76
0.5,1011,0.143258,0.001079,0.2625,939.74
1.0,1000,0.213406,0.001476,0.7756,882.43
1.0,1001,0.141665,0.000903,0.8228,917.83
1.0,1002,0.179644,0.001472,0.8828,839.01
1.0,1003,0.139908,0.001078,0.6286,864.88
1.0,1004,0.134032,0.000855,0.5808,872.89
1.0,1005,0.146223,0.000988,0.5500,903.40
1.0,1006,0.153139,0.000907,0.6953,862.54
1.0,1007,0.131524,0.000906,0.8783,906.68
1.0,1008,0.126871,0.000863,0.5797,856.41
1.0,1009,0.180752,0.001321,0.7900,918.95
1.0,1010,0.187966,0.001205,0.7256,903.60
1.0,1011,0.167345,0.000956,0.7622,852.47
1.5,1000,0.255829,0.001620,2.6283,933.90
1.5,1001,0.225078,0.001701,3.8514,933.32
1.5,1002,0.261709,0.001575,2.9914,947.11
1.5,1003,0.221664,0.001760,3.0942,910.04
1.5,1004,0.237299,0.001574,3.0333,951.79
1.5,1005,0.197744,0.001718,2.7386,941.86
1.5,1006,0.213818,0.001494,2.2369,923.20
1.5,1007,0.302322,0.002031,3.7897,935.88
1.5,1008,0.302446,0.002074,4.3553,918.29
1.5,1009,0.269158,0.002222,4.1717,868.37
1.5,1010,0.311539,0.001933,3.8797,938.01
1.5,1011,0.223010,0.001791,3.9614,921.87
2.0,1000,0.462475,0.002950,12.4183,842.37
2.0,1001,0.432639,0.001749,10.9531,868.70
2.0,1002,0.441859,0.002210,8.9997,866.67
2.0,1003,0.392092,0.002058,11.3406,875.53
2.0,1004,0.555621,0.003079,12.3597,813.82
2.0,1005,0.480750,0.002078,11.3872,820.14
2.0,1006,0.358969,0.002249,7.8342,879.30
2.0,1007,0.398129,0.002322,9.2864,887.37
2.0,1008,0.533286,0.002642,12.9008,823.92
2.0,1009,0.392916,0.001831,8.1717,917.03
2.0,1010,0.463374,0.003312,9.2722,841.18
2.0,1011,0.276598,0.001904,6.3278,925.21
3.0,1000,0.908825,0.002356,43.1928,170.98
3.0,1001,0.528634,0.003148,20.7339,782.05
3.0,1002,0.570343,0.003579,16.6592,768.83
3.0,1003,0.632569,0.003228,24.3403,719.98
3.0,1004,0.527710,0.003859,20.6506,797.67
3.0,1005,0.590153,0.002933,20.5072,759.06
3.0,1006,0.545115,0.003205,20.3572,762.95
3.0,1007,0.521410,0.002530,16.7019,858.62
3.0,1008,0.782004,0.002046,35.3372,592.30
3.0,1009,0.634388,0.002921,19.0522,752.75
3.0,1010,0.579137,0.003488,24.6311,758.85
3.0,1011,0.551630,0.004282,25.9333,757.21
4.0,1000,0.935772,0.001522,51.0683,162.65
4.0,1001,0.937593,0.001574,48.7100,184.90
4.0,1002,0.851332,0.003425,45.1467,287.84
4.0,1003,0.635506,0.002350,27.6022,722.44
4.0,1004,0.645178,0.003830,28.2894,687.09
4.0,1005,0.811896,0.003827,41.1125,382.83
4.0,1006,0.760016,0.002805,30.7303,618.14
4.0,1007,0.805920,0.003908,38.8767,361.11
4.0,1008,0.541758,0.003947,26.8181,735.34
